epoch,train_acc,train_loss,val_acc,val_loss
1,0.20207917972087724,2.02529209865796,0.2712066905615293,1.7631587296162012
2,0.2738536029621191,1.7523864553838222,0.3727598566308244,1.5631850406808674
3,0.3175733409285104,1.6035175569236686,0.5364396654719236,1.2349538297023412
4,0.3444887496439761,1.512761708951485,0.6332138590203107,1.1613767169556528
5,0.3527485046995158,1.4407005572101792,0.5471923536439666,1.2855966068663687
6,0.3654229564226716,1.3928412596837263,0.4958183990442055,1.4270924757111747
7,0.3782398177157505,1.3995235222890328,0.5949820788530465,1.0990805471280836
8,0.39817715750498434,1.3629648354167547,0.5304659498207885,1.2020826092306174
9,0.4013101680432925,1.3044045027133273,0.5949820788530465,1.0568041677744884
10,0.40985474223867846,1.2734726524841813,0.5555555555555556,1.1836924924040741
11,0.4030190828823697,1.2542575968425203,0.4348864994026284,1.6060761769987502
12,0.4161207633152948,1.2567379194946116,0.48148148148148145,1.4949473168630645
13,0.43449159783537455,1.2369322558198812,0.5137395459976105,1.2816746421158314
14,0.4521503845058388,1.2065835623643393,0.5543608124253285,1.383002185877764
15,0.426516661919681,1.1788081779295327,0.4731182795698925,1.5767568435590222
16,0.4396183423526061,1.1845131333162138,0.6666666666666666,1.0778857629816487
