test_fold,val_fold,test_acc,test_loss,val_best_acc,val_best_loss
1,10,0.6689576174112256,1.095095843076706,0.6571087216248507,0.9704493888706531
2,1,0.5754504504504504,1.3087980544992857,0.6849942726231386,0.9895402374592694
3,2,0.6227027027027027,1.1800687672763035,0.6396396396396397,1.0623289701927985
4,3,0.5232323232323233,1.3586260979214022,0.5383783783783784,1.2793422011851237
5,4,0.5502136752136753,1.1089411572379582,0.6131313131313131,1.2042545969447782
6,5,0.637910085054678,1.1620731214777782,0.6485042735042735,1.128740136527409
7,6,0.6384248210023866,0.9948462228167732,0.6306196840826246,1.0800010426184878
8,7,0.6352357320099256,1.3281755383108176,0.6933174224343676,0.8541626573171256
9,8,0.6262254901960784,1.2154270163280707,0.5260545905707196,1.3674865481900234
10,9,0.6905615292712067,0.879914494758507,0.6825980392156863,1.1163734408351136
