study,model,started_at,epochs,trial,state,value,batch,lr,dropout
us8k_optuna,rnn,2025-11-23T08:25:36,12,0,COMPLETE,0.5209080047789725,32,0.00018410729205738696,0.17799726016810133
us8k_optuna,rnn,2025-11-23T08:25:36,12,1,COMPLETE,0.47072879330943845,32,0.00010838581269344756,0.5849549260809972
us8k_optuna,rnn,2025-11-23T08:25:36,12,2,COMPLETE,0.5866188769414575,16,0.0003287747413991121,0.36237821581611895
us8k_optuna,rnn,2025-11-23T08:25:36,12,3,PRUNED,0.36081242532855434,48,0.0003135775732257748,0.28318092164684583
us8k_optuna,rnn,2025-11-23T08:25:36,12,4,COMPLETE,0.5973715651135006,32,0.0010150667045928574,0.12322520635999887
us8k_optuna,rnn,2025-11-23T08:25:36,12,5,PRUNED,0.3930704898446834,64,0.0043709904681305065,0.5041986740582306
us8k_optuna,rnn,2025-11-23T08:25:36,12,6,PRUNED,0.42771804062126645,48,0.000161190447276092,0.34758845505563507
us8k_optuna,rnn,2025-11-23T08:25:36,12,7,PRUNED,0.3930704898446834,32,0.00033852267834519784,0.3600340105889054
us8k_optuna,rnn,2025-11-23T08:25:36,12,8,PRUNED,0.3213859020310633,48,0.003946212980759096,0.5474136752138244
us8k_optuna,rnn,2025-11-23T08:25:36,12,9,PRUNED,0.37992831541218636,32,0.00011935477742481393,0.2626651653816322
us8k_optuna,rnn,2025-11-23T08:25:36,12,10,PRUNED,0.4444444444444444,64,0.0013236960409628124,0.10377365965814658
us8k_optuna,rnn,2025-11-23T08:25:36,12,11,PRUNED,0.3942652329749104,16,0.000969261693569305,0.4451235367845726
us8k_optuna,rnn,2025-11-23T08:25:36,12,12,PRUNED,0.3906810035842294,16,0.0005636113633962611,0.413441822453284
us8k_optuna,rnn,2025-11-23T08:25:36,12,13,COMPLETE,0.6296296296296297,16,0.0016615243906338954,0.22087201927727734
us8k_optuna,rnn,2025-11-23T08:25:36,12,14,PRUNED,0.4121863799283154,16,0.0017405166669833378,0.11998218538530606
us8k_optuna,rnn,2025-11-23T08:25:36,12,15,PRUNED,0.41935483870967744,32,0.0023669282837836085,0.20892679191816868
us8k_optuna,rnn,2025-11-23T08:25:36,12,16,PRUNED,0.45758661887694146,16,0.0007591662279249092,0.1824377261730281
us8k_optuna,rnn,2025-11-23T08:25:36,12,17,PRUNED,0.3942652329749104,64,0.0026770093728161544,0.24776228350183058
us8k_optuna,rnn,2025-11-23T08:25:36,12,18,COMPLETE,0.6654719235364397,16,0.0012915857668135615,0.14711734605494856
us8k_optuna,rnn,2025-11-23T08:25:36,12,19,PRUNED,0.4074074074074074,16,0.0005071323741953505,0.3100423536741054
us8k_optuna,rnn,2025-11-23T08:25:36,12,20,COMPLETE,0.6188769414575866,16,0.0019222911275355926,0.21233662823410446
us8k_optuna,rnn,2025-11-23T08:25:36,12,21,PRUNED,0.5161290322580645,16,0.0018939336292217892,0.2119868629523426
us8k_optuna,rnn,2025-11-23T08:25:36,12,22,PRUNED,0.5209080047789725,16,0.0012333782576437159,0.15223527914279503
us8k_optuna,rnn,2025-11-23T08:25:36,12,23,PRUNED,0.3978494623655914,16,0.0029050813807905973,0.22861914281797524
us8k_optuna,rnn,2025-11-23T08:25:36,12,24,COMPLETE,0.6152927120669056,16,0.0017682664568877307,0.16284953722941606
us8k_optuna,rnn,2025-11-23T08:25:36,12,25,PRUNED,0.45997610513739545,16,0.0013314588368132717,0.30709668390463774
us8k_optuna,rnn,2025-11-23T08:25:36,12,26,PRUNED,0.44683393070489846,16,0.003117286439686635,0.19840125885590298
us8k_optuna,rnn,2025-11-23T08:25:36,12,27,PRUNED,0.4133811230585424,16,0.0007876712147296469,0.14299820077003372
us8k_optuna,rnn,2025-11-23T08:25:36,12,28,PRUNED,0.34647550776583036,16,0.002248547109783144,0.2517537151234681
us8k_optuna,rnn,2025-11-23T08:25:36,12,29,PRUNED,0.35125448028673834,48,0.00151737819354228,0.1766680923450571
us8k_optuna,rnn,2025-11-23T08:25:36,12,30,PRUNED,0.4157706093189964,64,0.0033929599970859135,0.2854268988134033
us8k_optuna,rnn,2025-11-23T08:25:36,12,31,COMPLETE,0.6081242532855436,16,0.0019408074689068007,0.15738033365824164
us8k_optuna,rnn,2025-11-23T08:25:36,12,32,PRUNED,0.5806451612903226,16,0.0010664362576062957,0.16849636346598693
us8k_optuna,rnn,2025-11-23T08:25:36,12,33,PRUNED,0.2640382317801673,16,0.004964454084460557,0.22541472011174787
us8k_optuna,rnn,2025-11-23T08:25:36,12,34,PRUNED,0.5304659498207885,16,0.0015625481269424897,0.13684929937746015
